kecamatan,kabupaten,search_keyword,year_found,publication_title,publication_url,pdf_download_url,pdf_filename,status,error_message
Takisung,Tanah Laut,Kecamatan Takisung Dalam Angka 2025,2025,Kecamatan Takisung Dalam Angka 2025,https://tanahlautkab.bps.go.id/id/publication/2025/09/26/5a5dc5b51d3e2fc482f99d22/kecamatan-takisung-dalam-angka-2025.html,https://web-api.bps.go.id/download.php?f=Snuee7XJ6dZPTJrQkNMznkJQdGpFcFE5ZzVRcVhxL1F6SE1tQjBIUHR0VjF3bnBFa3VvV0lsUDNNcy9PUWlMVjhFUFZzNEhodDhoQkVERjJGSnFPSlF4MXVLUG02M2RRQ3RMZ1ZCMkM5TGIxdEw5d20ya0p5azFXNi9za3pzbjB5TXVVclNST1hneDh5d3hqVDlFeDNHQTZidGF0NS9JYVFkL01nNjhnLzNRVDZvTGtkQ0d0d0FWVHc2bXJQUk9qV2MxZ0VXSU9JK0owbW5rRk04a2VscXE1cmNMWDVCN2hWM2lVMXlpRUlFM01udGJZWmJHOTcyOU15aStFS1gydjJiV0JpWlcyT3dGdnZETms=,Kec_Takisung_Dalam_Angka_2025.pdf,success,
Jorong,Tanah Laut,Jorong Dalam Angka 2025,2025,Kecamatan Jorong Dalam Angka 2025,https://tanahlautkab.bps.go.id/id/publication/2025/09/26/5136dda237dde266cb5606ee/kecamatan-jorong-dalam-angka-2025.html,https://web-api.bps.go.id/download.php?f=JuJW2PEp0MIJtMcNWRlw2k1nL1RLZ09ibzNwQWtnSHFVdGtHWC94bnRpcTZlL1pzb1VFd284bHY3Nmg3QWRnbTkxT0dqRGF4SG9UOXI5MDVBTFhSQTh4Ukh1V1RmbmNkR2RtZ3Z4YUZpbkdNVi9yOU5BVW5nMDQyWFJaOFpza2JLOUt3Y2F3cHMrdnpzc0RhY01remZJVUg4SjZnbExJUlhOVk9ETnVDclBMelNvNWdSS3VlU2s4ZzRHRHFrWXpZQXZRTkkrR0NlMzVubTFFdHlCOFNZUEhYT1hnMnRTYXVOU09pNmMxUFZOY1l1Y2tMdnJJamFPL3hqdlZyQnNxbkVENndIa295NmZaRXJ3dzQ=,Kec_Jorong_Dalam_Angka_2025.pdf,success,
Pelaihari,Tanah Laut,Kecamatan Pelaihari Dalam Angka,,,,,,not_found,No matching publication found
Kurau,Tanah Laut,Kecamatan Kurau Dalam Angka,,,,,,not_found,No matching publication found
Bati-Bati,Tanah Laut,Bati-Bati Dalam Angka 2024,2024,Kecamatan Bati-Bati dalam Angka 2024,https://tanahlautkab.bps.go.id/id/publication/2024/09/26/a6481970c3c487ba4e9eba16/kecamatan-bati-bati-dalam-angka-2024.html,https://web-api.bps.go.id/download.php?f=1Fvl1Sy9GfVUeW9cTE6+RmFHeUloUEZnWGNGVXpFd3daYUcxRy9YY0ZucFJ1eVV4S01DVzF2dURISVdNU2lscGR4TDREdy83b2x4Y1dyM0h6MXV0RCtJbS95YUUxbTNlSUJXNXRNWlNLR0grUHc3OWw0MmNxdUxjSzluTDhGUGxWdlYrSTcwU3pCMVkwYVpZeEorY29xT3oza0YvL09uakxMKytPYmpsdk8wejJxb1R4VDg2S3J6bDMySUJ4MTRlemUwYVdSbGp3OC94OFRuaWhjZFhxTXdHTUhteGpkblpacWFKQ0Jka1hBZ1pMOUYwZ2FkeUlBQVViWkFEajRNMk15THdvK1pCM0dHQzI5Szg=,Kec_Bati-Bati_Dalam_Angka_2024.pdf,success,
Panyipatan,Tanah Laut,Kecamatan Panyipatan Dalam Angka 2024,2024,Kecamatan Panyipatan dalam Angka 2024,https://tanahlautkab.bps.go.id/id/publication/2024/09/26/4e79b09890a83b970c3a7bfb/kecamatan-panyipatan-dalam-angka-2024.html,https://web-api.bps.go.id/download.php?f=WOG9atrOp2m4vhBkMJMFpWh4QzMycTVieHlGaWpWalNSSlBWazdyVVhrNGRlTkV4dWYzTXNNbnZsMlFxRzAvOEF2R0M5YjlnZjQ5K1ZvYUxrS2FPcmVVSkRtdHZ5K1JVZy9WQ0VQZTlsSk1YeHlBVW1QQXNhdUxjRzJwamwzWm1YUHFFdkpGUUxFUGNuKzJxejhTbDJCYVA5WVhoSFB0dkdwalEyd25RNHFmOUhlbkdxK1pWWHB3ZjkzaGdUYlgydEZyeVhRcEVmV0k5d1NDaUlDUkN3c1hxZzdZN3lnNE9IZHZPVUJRL3Z6V3Z3djVoWVhuTGxPaWlOUjVNdzJBdkljUW5YeTVLSk1rMWs0REU=,Kec_Panyipatan_Dalam_Angka_2024.pdf,success,
Kintap,Tanah Laut,Kecamatan Kintap Dalam Angka,,,,,,not_found,No matching publication found
Tambang Ulang,Tanah Laut,Kecamatan Tambang Ulang Dalam Angka 2025,2025,Kecamatan Tambang Ulang Dalam Angka 2025,https://tanahlautkab.bps.go.id/id/publication/2025/09/26/c6dc0bef861ac4000be276ee/kecamatan-tambang-ulang-dalam-angka-2025.html,https://web-api.bps.go.id/download.php?f=8hVtbQZNwPiGWVcldR44/VJTMUJVclJHbGtUS1ZZOUFxNWJ2WlVaZGhNYzJSeWt3SkM0SWlCbXo4RlBLN2xHTkd5NVlPWjNVcG16RzhKSENQTFFjOUtCdHJDcEk5REdKVklpVGRzMGVIWkR5TldEemwyMnN5cG1oZ085S2VYaUl1alZ4TGROdG5qR1hteWNTTjkzUzJ2NXdXbDdXTUxkeTdxbjIxQWtvUUxmYThOOXpDaGNtUnhTd0pPSXZyOFNBdmFvR1Z0Ym9yRDBKa1NLRGpCTmFjQnNkazRCL0dQUTlTeWVjNlE4QUgxZVNwMGJhb3VnMStXUFhQTTFWS29LZk9Ib2VLcjFZT1RnTHA4dkc3clJ5SnFzTzFDT2RCVWczeWJGMUhRPT0=,Kec_Tambang_Ulang_Dalam_Angka_2025.pdf,success,
Batu Ampar,Tanah Laut,Batu Ampar Dalam Angka 2025,2025,Kecamatan Batu Ampar Dalam Angka 2025,https://tanahlautkab.bps.go.id/id/publication/2025/09/26/b941cc03cc7a8693ae10ab4d/kecamatan-batu-ampar-dalam-angka-2025.html,https://web-api.bps.go.id/download.php?f=pXPXKLSHNSqYFIcZdspYKGhSMURsSndqcDc3SW5XR0VRSXpvUmRPMUQ5VGZZK05OMXpTRHh5dWtTVjNPdVNwTTMwSTY2VkVjV29EYWZhMlM3aStkSmtwUHRMaXBqc0VLM0hDa0Q3cGtqWUJsdlRpZk8vdHNQblJNVGRxT1FrMUh2Z3g2Z1o2OVVRTE1McnFHbmpQSUtVbUhVKzVTZ2U0anZqRWFVbERaMUVvUnZiT1gxdnVNMkdidjZaTzJHSWREV004QTVneWtNQ2dmeHQ2YVdUQmZqelJaQVFvN2RKU0VLTk5HRGQ5Rng0MTQ3UHB1c3Q5NGdKekk0QWI0VjhBay9peHJ4VmRYOGswTmlyZnA=,Kec_Batu_Ampar_Dalam_Angka_2025.pdf,success,
Bajuin,Tanah Laut,Kecamatan Bajuin Dalam Angka 2025,2025,Kecamatan Bajuin Dalam Angka 2025,https://tanahlautkab.bps.go.id/id/publication/2025/09/26/ff2ba0cdd6dfd4dc6b85acfa/kecamatan-bajuin-dalam-angka-2025.html,https://web-api.bps.go.id/download.php?f=UCKvbt1l62PRTcMdrfoVHDRMeHJKM2xOeis2bnFta2kvR0M4K1RBTjBIUmsrUUdGNDMzRDErVHhEM3gyeFNBblFmYVY2KyttOEdkWnVlZzVxMzZQVzJQaUh4WDVJVWFzck9KcHFPM2psdzF3Y1lUU240eDlzcUJQSGlLRjVqQjRMU0loY3JGdlRwRGh2UnlqMlo4aFJGVFQ4SktIemJ1SCs0TnF6YWphZ1lOV3d6N1Q3cWdGczhVZWsxNnRaY2lFUGZHSWxkNVRRWGM4eU50U3JWUEdRZitMcjllSVBIdlFiTzN4UnZtVjRwVlFTQitSL3pMMHFzTExtcHJybWpRUzM5bEI5QUVOMDJxajNDN0w=,Kec_Bajuin_Dalam_Angka_2025.pdf,success,
