province_code,province_name,regency_code,regency_name,regency_type,district_code,district_name,village_code,village_name,village_type
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301010,Panyipatan,6301010001,Batakan,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301010,Panyipatan,6301010002,Tanjung Dewa,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301010,Panyipatan,6301010003,Kandangan Lama,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301010,Panyipatan,6301010004,Batu Tungku,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301010,Panyipatan,6301010005,Kuringkit,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301010,Panyipatan,6301010006,Bumi Asih,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301010,Panyipatan,6301010007,Batu Mulya,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301010,Panyipatan,6301010008,Suka Ramah,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301010,Panyipatan,6301010009,Panyipatan,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301010,Panyipatan,6301010010,Kandangan Baru,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301020,Takisung,6301020001,Kuala Tambangan,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301020,Takisung,6301020002,Telaga Langsat,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301020,Takisung,6301020003,Takisung,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301020,Takisung,6301020004,Gunung Makmur,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301020,Takisung,6301020005,Sumber Makmur,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301020,Takisung,6301020006,Benua Tengah,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301020,Takisung,6301020007,Benua Lawas,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301020,Takisung,6301020008,Ranggang,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301020,Takisung,6301020009,Batilai,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301020,Takisung,6301020010,Ranggang Dalam,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301020,Takisung,6301020011,Pegatan Besar,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301020,Takisung,6301020012,Tabanio,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301030,Kurau,6301030001,Sungai Bakau,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301030,Kurau,6301030002,Raden,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301030,Kurau,6301030003,Maluka Baulin,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301030,Kurau,6301030004,Bawah Layung,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301030,Kurau,6301030005,Tambak Karya,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301030,Kurau,6301030006,Padang Luas,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301030,Kurau,6301030007,Tambak Sarinah,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301030,Kurau,6301030008,Sarikandi,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301030,Kurau,6301030009,Handil Negara,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301030,Kurau,6301030010,Kali Besar,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301030,Kurau,6301030013,Kurau,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301031,Bumi Makmur,6301031001,Pantai Harapan,Kelurahan
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301031,Bumi Makmur,6301031002,Sungai Rasau,Kelurahan
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301031,Bumi Makmur,6301031003,Handil Maluka,Kelurahan
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301031,Bumi Makmur,6301031004,Handil Labuan Amas,Kelurahan
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301031,Bumi Makmur,6301031005,Handil Suruk,Kelurahan
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301031,Bumi Makmur,6301031006,Handil Gayam,Kelurahan
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301031,Bumi Makmur,6301031007,Kurau Utara,Kelurahan
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301031,Bumi Makmur,6301031008,Bumi Harapan,Kelurahan
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301031,Bumi Makmur,6301031009,Handil Babirik,Kelurahan
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301031,Bumi Makmur,6301031010,Handil Birayang Bawah,Kelurahan
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301031,Bumi Makmur,6301031011,Handil Birayang Atas,Kelurahan
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301040,Bati - Bati,6301040001,Benua Raya,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301040,Bati - Bati,6301040002,Bati Bati,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301040,Bati - Bati,6301040003,Padang,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301040,Bati - Bati,6301040005,Ujung Baru,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301040,Bati - Bati,6301040006,Nusa Indah,Desa
