name,latitude,longitude,search_query,gmaps_link
ALFAMART,-7.7857625,110.3576474,Alfamart,"https://www.google.com/maps/search/ALFAMART/@-7.7857625,110.3576474,17z"
ALFAMART CONDONGSARI,-7.765056,110.405681,Alfamart,"https://www.google.com/maps/search/ALFAMART%20CONDONGSARI/@-7.765056,110.405681,17z"
ALFAMART FLAGSHIP MALIOBORO,-7.7934876,110.3655801,Alfamart,"https://www.google.com/maps/search/ALFAMART%20FLAGSHIP%20MALIOBORO/@-7.7934876,110.3655801,17z"
ALFAMART GAJAH MADA,-7.8003815,110.373201,Alfamart,"https://www.google.com/maps/search/ALFAMART%20GAJAH%20MADA/@-7.8003815,110.373201,17z"
ATM BCA 551R Alfamart Perumnas Seturan,-7.7726107,110.4048169,Alfamart,"https://www.google.com/maps/search/ATM%20BCA%20551R%20Alfamart%20Perumnas%20Seturan/@-7.7726107,110.4048169,17z"
ATM BCA Alfamart Timoho,-7.7878645,110.3946153,Alfamart,"https://www.google.com/maps/search/ATM%20BCA%20Alfamart%20Timoho/@-7.7878645,110.3946153,17z"
ATM BCA alfamart Jl Am Sangaji,-7.77343,110.3680096,Alfamart,"https://www.google.com/maps/search/ATM%20BCA%20alfamart%20Jl%20Am%20Sangaji/@-7.77343,110.3680096,17z"
ATM Mandiri Alfamart Palagan,-7.7458973,110.3734047,Alfamart,"https://www.google.com/maps/search/ATM%20Mandiri%20Alfamart%20Palagan/@-7.7458973,110.3734047,17z"
Alfa Mart,-7.7721855,110.3896462,Alfamart,"https://www.google.com/maps/search/Alfa%20Mart/@-7.7721855,110.3896462,17z"
Alfamart Abu Bakar Ali,-7.7881125,110.3725301,Alfamart,"https://www.google.com/maps/search/Alfamart%20Abu%20Bakar%20Ali/@-7.7881125,110.3725301,17z"
Alfamart Adi Sucipto,-7.7833681,110.4004587,Alfamart,"https://www.google.com/maps/search/Alfamart%20Adi%20Sucipto/@-7.7833681,110.4004587,17z"
Alfamart Ampel Gading,-7.7597196,110.4059856,Alfamart,"https://www.google.com/maps/search/Alfamart%20Ampel%20Gading/@-7.7597196,110.4059856,17z"
Alfamart Anggajaya,-7.7549127,110.3991672,Alfamart,"https://www.google.com/maps/search/Alfamart%20Anggajaya/@-7.7549127,110.3991672,17z"
Alfamart Banguntapan,-7.81497,110.41212,Alfamart,"https://www.google.com/maps/search/Alfamart%20Banguntapan/@-7.81497,110.41212,17z"
Alfamart Blunyahgede,-7.7671266,110.3677652,Alfamart,"https://www.google.com/maps/search/Alfamart%20Blunyahgede/@-7.7671266,110.3677652,17z"
Alfamart Brigjen Katamso,-7.8051904,110.3694993,Alfamart,"https://www.google.com/maps/search/Alfamart%20Brigjen%20Katamso/@-7.8051904,110.3694993,17z"
Alfamart Brontokusuman Parangtritis 1,-7.8161923,110.3684046,Alfamart,"https://www.google.com/maps/search/Alfamart%20Brontokusuman%20Parangtritis%201/@-7.8161923,110.3684046,17z"
Alfamart Bugisan,-7.8184074,110.3483409,Alfamart,"https://www.google.com/maps/search/Alfamart%20Bugisan/@-7.8184074,110.3483409,17z"
Alfamart Candi Gebang,-7.7455272,110.41254,Alfamart,"https://www.google.com/maps/search/Alfamart%20Candi%20Gebang/@-7.7455272,110.41254,17z"
Alfamart Dabag Sleman,-7.7716197,110.4014665,Alfamart,"https://www.google.com/maps/search/Alfamart%20Dabag%20Sleman/@-7.7716197,110.4014665,17z"
Alfamart Dagen Yogyakarta,-7.79368,110.3646333,Alfamart,"https://www.google.com/maps/search/Alfamart%20Dagen%20Yogyakarta/@-7.79368,110.3646333,17z"
Alfamart Damai,-7.7342131,110.3916503,Alfamart,"https://www.google.com/maps/search/Alfamart%20Damai/@-7.7342131,110.3916503,17z"
Alfamart Demangan Baru,-7.7752501,110.3933778,Alfamart,"https://www.google.com/maps/search/Alfamart%20Demangan%20Baru/@-7.7752501,110.3933778,17z"
Alfamart Dr Sutomo,-7.7932251,110.3780463,Alfamart,"https://www.google.com/maps/search/Alfamart%20Dr%20Sutomo/@-7.7932251,110.3780463,17z"
Alfamart Gambiran,-7.8216902,110.3905321,Alfamart,"https://www.google.com/maps/search/Alfamart%20Gambiran/@-7.8216902,110.3905321,17z"
Alfamart Gedong Kuning 2,-7.8126661,110.4021981,Alfamart,"https://www.google.com/maps/search/Alfamart%20Gedong%20Kuning%202/@-7.8126661,110.4021981,17z"
Alfamart Gedong Tengen,-7.787817,110.3662156,Alfamart,"https://www.google.com/maps/search/Alfamart%20Gedong%20Tengen/@-7.787817,110.3662156,17z"
Alfamart Glagahsari,-7.8106829,110.3872682,Alfamart,"https://www.google.com/maps/search/Alfamart%20Glagahsari/@-7.8106829,110.3872682,17z"
Alfamart Godean KM 7,-7.775691,110.3252512,Alfamart,"https://www.google.com/maps/search/Alfamart%20Godean%20KM%207/@-7.775691,110.3252512,17z"
Alfamart Godean km 5,-7.7782712,110.3373264,Alfamart,"https://www.google.com/maps/search/Alfamart%20Godean%20km%205/@-7.7782712,110.3373264,17z"
Alfamart Gowongan,-7.7871356,110.3634189,Alfamart,"https://www.google.com/maps/search/Alfamart%20Gowongan/@-7.7871356,110.3634189,17z"
Alfamart Imogiri Timur,-7.8313509,110.3898378,Alfamart,"https://www.google.com/maps/search/Alfamart%20Imogiri%20Timur/@-7.8313509,110.3898378,17z"
Alfamart Jalan Ahmad Dahlan,-7.8010859,110.3593061,Alfamart,"https://www.google.com/maps/search/Alfamart%20Jalan%20Ahmad%20Dahlan/@-7.8010859,110.3593061,17z"
Alfamart Jalan Lowanu(ꦄꦭ꧀ꦥ꦳ꦩꦂꦠ꧀ꦗꦭꦤ꧀ꦭꦺꦴꦮꦤꦸ),-7.8203296,110.3767315,Alfamart,"https://www.google.com/maps/search/Alfamart%20Jalan%20Lowanu%28%EA%A6%84%EA%A6%AD%EA%A7%80%EA%A6%A5%EA%A6%B3%EA%A6%A9%EA%A6%82%EA%A6%A0%EA%A7%80%EA%A6%97%EA%A6%AD%EA%A6%A4%EA%A7%80%EA%A6%AD%EA%A6%BA%EA%A6%B4%EA%A6%AE%EA%A6%A4%EA%A6%B8%29/@-7.8203296,110.3767315,17z"
Alfamart Jembatan Merah,-7.7635816,110.3950678,Alfamart,"https://www.google.com/maps/search/Alfamart%20Jembatan%20Merah/@-7.7635816,110.3950678,17z"
Alfamart Jogja Bay,-7.746791,110.4197428,Alfamart,"https://www.google.com/maps/search/Alfamart%20Jogja%20Bay/@-7.746791,110.4197428,17z"
Alfamart Kaliurang KM 8.1,-7.7371825,110.3936176,Alfamart,"https://www.google.com/maps/search/Alfamart%20Kaliurang%20KM%208.1/@-7.7371825,110.3936176,17z"
Alfamart Kalongan Sleman,-7.7836678,110.4273696,Alfamart,"https://www.google.com/maps/search/Alfamart%20Kalongan%20Sleman/@-7.7836678,110.4273696,17z"
Alfamart Kapten Haryadi,-7.7216646,110.3867197,Alfamart,"https://www.google.com/maps/search/Alfamart%20Kapten%20Haryadi/@-7.7216646,110.3867197,17z"
Alfamart Karangwaru,-7.7770883,110.3611697,Alfamart,"https://www.google.com/maps/search/Alfamart%20Karangwaru/@-7.7770883,110.3611697,17z"
Alfamart MOJO YOGYAKARTA,-7.7906954,110.3865161,Alfamart,"https://www.google.com/maps/search/Alfamart%20MOJO%20YOGYAKARTA/@-7.7906954,110.3865161,17z"
Alfamart Magelang 5.6,-7.7552745,110.3622905,Alfamart,"https://www.google.com/maps/search/Alfamart%20Magelang%205.6/@-7.7552745,110.3622905,17z"
Alfamart Magelang KM 9,-7.7252414,110.3626365,Alfamart,"https://www.google.com/maps/search/Alfamart%20Magelang%20KM%209/@-7.7252414,110.3626365,17z"
Alfamart Malioboro,-7.7917097,110.3638326,Alfamart,"https://www.google.com/maps/search/Alfamart%20Malioboro/@-7.7917097,110.3638326,17z"
Alfamart Mancasan Kidul,-7.7628471,110.4156042,Alfamart,"https://www.google.com/maps/search/Alfamart%20Mancasan%20Kidul/@-7.7628471,110.4156042,17z"
Alfamart Mangkubumi Jogja,-7.7879154,110.366224,Alfamart,"https://www.google.com/maps/search/Alfamart%20Mangkubumi%20Jogja/@-7.7879154,110.366224,17z"
Alfamart Margo Utomo Yogyakarta,-7.7856291,110.3668533,Alfamart,"https://www.google.com/maps/search/Alfamart%20Margo%20Utomo%20Yogyakarta/@-7.7856291,110.3668533,17z"
Alfamart Monjali,-7.7551999,110.3700362,Alfamart,"https://www.google.com/maps/search/Alfamart%20Monjali/@-7.7551999,110.3700362,17z"
Alfamart Munggur,-7.784924,110.3882266,Alfamart,"https://www.google.com/maps/search/Alfamart%20Munggur/@-7.784924,110.3882266,17z"
Alfamart Ngeksigondo (ꦄꦭ꧀ꦥ꦳ꦩꦂꦠ꧀ꦔꦼꦏ꧀ꦱꦶꦒꦺꦴꦤ꧀ꦝꦺꦴ),-7.8195396,110.3974566,Alfamart,"https://www.google.com/maps/search/Alfamart%20Ngeksigondo%20%28%EA%A6%84%EA%A6%AD%EA%A7%80%EA%A6%A5%EA%A6%B3%EA%A6%A9%EA%A6%82%EA%A6%A0%EA%A7%80%EA%A6%94%EA%A6%BC%EA%A6%8F%EA%A7%80%EA%A6%B1%EA%A6%B6%EA%A6%92%EA%A6%BA%EA%A6%B4%EA%A6%A4%EA%A7%80%EA%A6%9D%EA%A6%BA%EA%A6%B4%29/@-7.8195396,110.3974566,17z"
Alfamart Nulis Geblagan Bantul,-7.8098278,110.3247406,Alfamart,"https://www.google.com/maps/search/Alfamart%20Nulis%20Geblagan%20Bantul/@-7.8098278,110.3247406,17z"
Alfamart PEMBELA TANAH AIR,-7.79017,110.3548185,Alfamart,"https://www.google.com/maps/search/Alfamart%20PEMBELA%20TANAH%20AIR/@-7.79017,110.3548185,17z"
Alfamart Patangpuluhan,-7.8074866,110.3468294,Alfamart,"https://www.google.com/maps/search/Alfamart%20Patangpuluhan/@-7.8074866,110.3468294,17z"
Alfamart Pringgodani,-7.7752215,110.3935704,Alfamart,"https://www.google.com/maps/search/Alfamart%20Pringgodani/@-7.7752215,110.3935704,17z"
Alfamart Rejowinangun,-7.810509,110.3999759,Alfamart,"https://www.google.com/maps/search/Alfamart%20Rejowinangun/@-7.810509,110.3999759,17z"
Alfamart Ring Road Selatan,-7.8268805,110.345791,Alfamart,"https://www.google.com/maps/search/Alfamart%20Ring%20Road%20Selatan/@-7.8268805,110.345791,17z"
Alfamart SAT Raya Janti,-7.7838758,110.4102718,Alfamart,"https://www.google.com/maps/search/Alfamart%20SAT%20Raya%20Janti/@-7.7838758,110.4102718,17z"
Alfamart SUTOPADAN,-7.7937762,110.3466425,Alfamart,"https://www.google.com/maps/search/Alfamart%20SUTOPADAN/@-7.7937762,110.3466425,17z"
Alfamart Sangaji,-7.7733171,110.3679939,Alfamart,"https://www.google.com/maps/search/Alfamart%20Sangaji/@-7.7733171,110.3679939,17z"
Alfamart Sendangadi,-7.73948,110.36251,Alfamart,"https://www.google.com/maps/search/Alfamart%20Sendangadi/@-7.73948,110.36251,17z"
Alfamart Sisingamangaraja,-7.8191293,110.3730365,Alfamart,"https://www.google.com/maps/search/Alfamart%20Sisingamangaraja/@-7.8191293,110.3730365,17z"
Alfamart Soragan,-7.7892193,110.3480322,Alfamart,"https://www.google.com/maps/search/Alfamart%20Soragan/@-7.7892193,110.3480322,17z"
Alfamart Sorogenen Jogja,-7.8246952,110.3803381,Alfamart,"https://www.google.com/maps/search/Alfamart%20Sorogenen%20Jogja/@-7.8246952,110.3803381,17z"
Alfamart Sorogenen Sleman,-7.783168,110.4418452,Alfamart,"https://www.google.com/maps/search/Alfamart%20Sorogenen%20Sleman/@-7.783168,110.4418452,17z"
Alfamart Sosromenduran,-7.7914784,110.3658889,Alfamart,"https://www.google.com/maps/search/Alfamart%20Sosromenduran/@-7.7914784,110.3658889,17z"
Alfamart TamanSiswa 42,-7.8077389,110.3777293,Alfamart,"https://www.google.com/maps/search/Alfamart%20TamanSiswa%2042/@-7.8077389,110.3777293,17z"
