Kecamatan;Kelurahan;latitude;longitude;street_name;search_query;gmaps_link;location_name_maps;location_name_structured
Banjarbaru Selatan;Loktabat Selatan;-3.32;115.44;GRWC+Q6J, Jl. Sabilal 2, RT.03/RW.04, Loktabat Sel., Kec. Banjarbaru Selatan, Kota Banjar Baru, Kalimantan Selatan 70714;Kantor Kelurahan Loktabat Selatan Banjarbaru Selatan, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Kelurahan Loktabat Selatan;Gedung_Kelurahan_Loktabat_Selatan
Banjarbaru Selatan;Kemuning;-3.4579128;114.8132527;;Kantor Kelurahan Kemuning Banjarbaru Selatan, Kalimantan Selatan;https://www.google.com/maps?q=-3.4579128,114.8132527;Kemuning;Gedung_Kelurahan_Kemuning
Banjarbaru Selatan;Guntung Paikat;-3.32;115.44;HR3M+M8V, Loktabat Sel., Kec. Banjarbaru Selatan, Kota Banjar Baru, Kalimantan Selatan 70713;Kantor Kelurahan Guntung Paikat Banjarbaru Selatan, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Kelurahan Guntung Paikat;Gedung_Kelurahan_Guntung_Paikat
Banjarbaru Selatan;Sungai Besar;-3.32;115.44;Jalan Ir. PM. Noor No. 58, RT. 14 Sungai Besar, Kemuning, Kec. Banjarbaru Selatan, Kota Banjar Baru, Kalimantan Selatan 70714;Kantor Kelurahan Sungai Besar Banjarbaru Selatan, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kelurahan Sungai Besar;Gedung_Kelurahan_Sungai_Besar
Banjarmasin Barat;Teluk Tiram;-3.32;115.44;KANTOR, Jl. Teluk Tiram Darat No.216, RW.02, Tlk. Tiram, Kec. Banjarmasin Bar., Kota Banjarmasin, Kalimantan Selatan 70113;Kantor Kelurahan Teluk Tiram Banjarmasin Barat, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Kelurahan Teluk Tiram;Gedung_Kelurahan_Teluk_Tiram
Banjarmasin Barat;Telawang;-3.32;115.44;Jl. Dahlia Gg. Budaya No.Ujung, RT.028/RW.003, Telawang, Kec. Banjarmasin Bar., Kota Banjarmasin, Kalimantan Selatan 70114;Kantor Kelurahan Telawang Banjarmasin Barat, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Kelurahan Telawang;Gedung_Kelurahan_Telawang
Banjarmasin Barat;Telaga Biru;-3.32;115.44;MHG9+6W5, Jl. Ampera Gg. 20, Telaga Biru, Kec. Banjarmasin Bar., Kota Banjarmasin, Kalimantan Selatan 70117;Kantor Kelurahan Telaga Biru Banjarmasin Barat, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Kelurahan Telaga Biru;Gedung_Kelurahan_Telaga_Biru
Banjarmasin Barat;Pelambuan;-3.32;115.44;Jl. Ir. P. Moch. Noor No.49, Pelambuan, Kec. Banjarmasin Bar., Kota Banjarmasin, Kalimantan Selatan 70118;Kantor Kelurahan Pelambuan Banjarmasin Barat, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Kelurahan Pelambuan;Gedung_Kelurahan_Pelambuan
Banjarmasin Barat;Belitung Selatan;-3.32;115.44;Jl. Cendrawasih Gg. Kelurahan II No.38, Belitung Sel., Kec. Banjarmasin Bar., Kota Banjarmasin, Kalimantan Selatan 70116;Kantor Kelurahan Belitung Selatan Banjarmasin Barat, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Kelurahan Belitung Selatan;Gedung_Kelurahan_Belitung_Selatan
Banjarmasin Barat;Belitung Utara;-3.32;115.44;Jl. Samadi Ilham Jl. Belitung Darat No.52 17, RW.02, Belitung Utara, Kec. Banjarmasin Bar., Kota Banjarmasin, Kalimantan Selatan 70116;Kantor Kelurahan Belitung Utara Banjarmasin Barat, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Kelurahan Belitung Utara;Gedung_Kelurahan_Belitung_Utara
Banjarmasin Barat;Basirih;-3.32;115.44;MH79+HX7, Basirih, Kec. Banjarmasin Bar., Kota Banjarmasin, Kalimantan Selatan 70117;Kantor Kelurahan Basirih Banjarmasin Barat, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Kelurahan Basirih;Gedung_Kelurahan_Basirih
Banjarmasin Barat;Kuin Cerucuk;-3.32;115.44;MHVF+X3C, Kuin Cerucuk, Kec. Banjarmasin Bar., Kota Banjarmasin, Kalimantan Selatan 70128;Kantor Kelurahan Kuin Cerucuk Banjarmasin Barat, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Kelurahan Kuin Cerucuk;Gedung_Kelurahan_Kuin_Cerucuk
