Kecamatan;Kelurahan;latitude;longitude;search_query;gmaps_link
Banjarbaru Selatan;Loktabat Selatan;;;;
Banjarbaru Selatan;Kemuning;;;;
Banjarbaru Selatan;Guntung Paikat;;;;
Banjarbaru Selatan;Sungai Besar;;;;
Banjarmasin Barat;Teluk Tiram;;;;
Banjarmasin Barat;Telawang;;;;
Banjarmasin Barat;Telaga Biru;;;;
Banjarmasin Barat;Pelambuan;;;;
Banjarmasin Barat;Belitung Selatan;;;;
Banjarmasin Barat;Belitung Utara;;;;
Banjarmasin Barat;Basirih;;;;
Banjarmasin Barat;Kuin Cerucuk;;;;
Banjarmasin Barat;Kuin Selatan;;;;
Banjarmasin Selatan;Mantuil;;;;
Banjarmasin Selatan;Kelayan Selatan;;;;
Banjarmasin Selatan;Kelayan Timur;;;;
Banjarmasin Selatan;Tanjung Pagar;;;;
Banjarmasin Selatan;Pemurus Dalam;;;;
Banjarmasin Selatan;Pemurus Baru;;;;
Banjarmasin Selatan;Murung Raya;;;;
Banjarmasin Selatan;Kelayan Dalam;;;;
Banjarmasin Selatan;Kelayan Tengah;;;;
Banjarmasin Selatan;Pekauman;;;;
Banjarmasin Selatan;Kelayan Barat;;;;
Banjarmasin Selatan;Basirih Selatan;;;;
Banjarmasin Tengah;Kelayan Luar;;;;
Banjarmasin Tengah;Kertak Baru Ilir;;;;
Banjarmasin Tengah;Mawar;;;;
Banjarmasin Tengah;Teluk Dalam;;;;
Banjarmasin Tengah;Kertak Baru Ulu;;;;
Banjarmasin Tengah;Pekapuran Laut;;;;
Banjarmasin Tengah;Sungai Baru;;;;
Banjarmasin Tengah;Gadang;;;;
Banjarmasin Tengah;Antasan Besar;;;;
Banjarmasin Tengah;Pasar Lama;;;;
Banjarmasin Tengah;Seberang Mesjid;;;;
Banjarmasin Tengah;Melayu;;;;
Banjarmasin Timur;Pekapuran Raya;;;;
Banjarmasin Timur;Karang Mekar;;;;
Banjarmasin Timur;Kebun Bunga;;;;
