name,latitude,longitude,search_query,gmaps_link
ALFAMART A.YANI PASAYANGAN,-3.4036033,114.8462467,Alfamart,"https://www.google.com/maps?q=-3.4036033,114.8462467"
ALFAMART LINGKAR PEMURUS,-3.3476986,114.6082733,Alfamart,"https://www.google.com/maps?q=-3.3476986,114.6082733"
ALFAMART TELUK TIRAM,-3.3332854,114.5795264,Alfamart,"https://www.google.com/maps?q=-3.3332854,114.5795264"
ALFAMART UJUNG KSTUBUN,-3.3327161,114.5866149,Alfamart,"https://www.google.com/maps?q=-3.3327161,114.5866149"
Alfamart Jalan Jenderal Achmad Yani,-3.4432192,114.8335051,Alfamart,"https://www.google.com/maps?q=-3.4432192,114.8335051"
Alfamart Jalan Saka Permai,-3.3130591,114.584917,Alfamart,"https://www.google.com/maps?q=-3.3130591,114.584917"
Alfamart Jalan Pangeran Hidayatullah,-3.3119504,114.6167407,Alfamart,"https://www.google.com/maps?q=-3.3119504,114.6167407"
Alfamart Ko Persada Raya I,-3.269152,114.6019231,Alfamart,"https://www.google.com/maps?q=-3.269152,114.6019231"
Alfamart Jalan Trans Kalimantan,-3.2757517,114.5964639,Alfamart,"https://www.google.com/maps?q=-3.2757517,114.5964639"
Alfamart Jalan Haryono MT,-3.3270978,114.5878679,Alfamart,"https://www.google.com/maps?q=-3.3270978,114.5878679"
Alfamart Jalan Jenderal Achmad Yani (2),-3.3508195,114.6276525,Alfamart,"https://www.google.com/maps?q=-3.3508195,114.6276525"
Alfamart Jalan Sultan Adam,-3.2955188,114.6026628,Alfamart,"https://www.google.com/maps?q=-3.2955188,114.6026628"
Alfamart Jalan Padat Karya,-3.2917452,114.6131509,Alfamart,"https://www.google.com/maps?q=-3.2917452,114.6131509"
"Alfamart - A. Yani KM 12,9",-3.3964627,114.6618148,Alfamart,"https://www.google.com/maps?q=-3.3964627,114.6618148"
Alfamart - A. Yani Km 21,-3.4435584,114.7137978,Alfamart,"https://www.google.com/maps?q=-3.4435584,114.7137978"
Alfamart - A. Yani Km 5,-3.3399699,114.6186706,Alfamart,"https://www.google.com/maps?q=-3.3399699,114.6186706"
"Alfamart - A. Yani Km 8,4",-3.3633871,114.6372293,Alfamart,"https://www.google.com/maps?q=-3.3633871,114.6372293"
Alfamart - A. Yani Km. 27,-3.4456156,114.7679599,Alfamart,"https://www.google.com/maps?q=-3.4456156,114.7679599"
"Alfamart - A. Yani Km. 29,8",-3.4491338,114.7897333,Alfamart,"https://www.google.com/maps?q=-3.4491338,114.7897333"
Alfamart - A. Yani Km. 34,-3.4430344,114.8262012,Alfamart,"https://www.google.com/maps?q=-3.4430344,114.8262012"
Alfamart - A. Yani Km. 36,-3.4428839,114.8467483,Alfamart,"https://www.google.com/maps?q=-3.4428839,114.8467483"
Alfamart - A. Yani Km. 39,-3.4168002,114.8498429,Alfamart,"https://www.google.com/maps?q=-3.4168002,114.8498429"
Alfamart - Ahmad Yani,-3.4126367,114.6739808,Alfamart,"https://www.google.com/maps?q=-3.4126367,114.6739808"
Alfamart - Ahmad Yani Km 4,-3.3275268,114.6083221,Alfamart,"https://www.google.com/maps?q=-3.3275268,114.6083221"
Alfamart - Citra Graha,-3.4355951,114.6920368,Alfamart,"https://www.google.com/maps?q=-3.4355951,114.6920368"
Alfamart - Gubernur Soebardjo,-3.3497451,114.5738013,Alfamart,"https://www.google.com/maps?q=-3.3497451,114.5738013"
Alfamart - Ir Pm Noor,-3.4477996,114.8617368,Alfamart,"https://www.google.com/maps?q=-3.4477996,114.8617368"
Alfamart - Irigasi,-3.4086231,114.6638208,Alfamart,"https://www.google.com/maps?q=-3.4086231,114.6638208"
"Alfamart - Jl. Jend. A. Yani Km.7,4",-3.3576045,114.6318735,Alfamart,"https://www.google.com/maps?q=-3.3576045,114.6318735"
Alfamart - Jl. Mahligai,-3.352608,114.634328,Alfamart,"https://www.google.com/maps?q=-3.352608,114.634328"
Alfamart - Pangeran Antasari,-3.3286138,114.6026723,Alfamart,"https://www.google.com/maps?q=-3.3286138,114.6026723"
Alfamart - Pemajatan,-3.3993454,114.6756655,Alfamart,"https://www.google.com/maps?q=-3.3993454,114.6756655"
Alfamart - Piere Tendean,-3.3160449,114.5934879,Alfamart,"https://www.google.com/maps?q=-3.3160449,114.5934879"
